date,CPI,population,personal_income,Health expenditures per capita,Personal income per capita
1979-01-01,68.5,225055000,2005384000000,NA,9252
1980-01-01,78,227225000,2231943000000,NA,10204
1981-01-01,87.2,229466000,2508890000000,NA,11326
1982-01-01,94.4,231664000,2727838000000,NA,12021
1983-01-01,97.9,233792000,2892399000000,NA,12721
1984-01-01,102.1,235825000,3178949000000,NA,13929
1985-01-01,105.7,237924000,3455406000000,NA,14779
1986-01-01,109.9,240133000,3667613000000,NA,15510
1987-01-01,111.4,242289000,3855989000000,NA,16313
1988-01-01,116,244499000,4160578999999.9995,NA,17479
1989-01-01,121.2,246819000,4537232000000,NA,18698
1990-01-01,127.5,249623000,4818861000000,NA,19641
1991-01-01,134.7,252981000,4992467000000,NA,20056
1992-01-01,138.3,256514000,5297824000000,NA,21099
1993-01-01,142.8,259919000,5560691000000,NA,21738
1994-01-01,146.3,263126000,5807935000000,NA,22574
1995-01-01,150.5,266278000,6181217000000,NA,23600
1996-01-01,154.7,269394000,6520965000000,NA,24762
1997-01-01,159.4,272657000,6939356000000,NA,25984
1998-01-01,162,275854000,7434561000000,NA,27545
1999-01-01,164.7,279040000,7850900000000,NA,28647
2000-01-01,169.3,282162411,8457240000000,3932.27,30640
2001-01-01,175.6,284968955,8983971000000,4243.55,31574
2002-01-01,177.7,287625193,9057799000000,4578.98,31807
2003-01-01,182.6,290107933,9315093000000,4864.74,32645
2004-01-01,186.3,292805298,9777933000000,5177.84,34219
2005-01-01,191.6,295516599,10338509000000,5461.42,35806
2006-01-01,199.3,298379912,11189536000000,5755.58,38089
2007-01-01,203.437,301231207,11836729000000,6064.71,39801
2008-01-01,212.174,304093966,12314988000000,6294.9,40855
2009-01-01,211.933,306771529,11989616000000,6521.99,39250
2010-01-01,217.488,309338421,12275861000000,6725.23,40516
2011-01-01,221.187,311644280,13158223000000,6983.6,42701
2012-01-01,227.842,313993272,13785668000000,7214.97,44565
2013-01-01,231.679,316234505,14001219000000,7341.08,44792
2014-01-01,235.347,318622525,14660201000000,7671.57,47003
2015-01-01,234.836,321039839,15471296000000,NA,48921
2016-01-01,237.99,323405935,15946542000000,NA,49820
2017-01-01,244.028,325719178,16604424000000,NA,51631
2018-01-01,249.245,NA,17319159000000,NA,NA
