Section,Round,Sold,Price,Carfax,Quality
8:00,1,TRUE,1000,0,Lemon
8:00,1,TRUE,1000,0,Lemon
8:00,1,TRUE,1500,0,Lemon
8:00,1,TRUE,1500,0,Lemon
8:00,1,TRUE,2000,0,Not a lemon
8:00,1,FALSE,0,0,Not a lemon
8:00,1,FALSE,0,0,Not a lemon
8:00,2,TRUE,2000,0,Not a lemon
8:00,2,TRUE,800,0,Lemon
8:00,2,TRUE,1700,200,Not a lemon
8:00,2,TRUE,1500,200,Not a lemon
8:00,2,FALSE,0,0,Lemon
8:00,2,FALSE,0,0,Lemon
8:00,2,FALSE,0,0,Lemon
9:30,1,TRUE,1500,0,Not a lemon
9:30,1,TRUE,2550,0,Lemon
9:30,1,TRUE,2300,0,Lemon
9:30,1,TRUE,2000,0,Not a lemon
9:30,1,TRUE,2350,0,Lemon
9:30,1,TRUE,2400,0,Lemon
9:30,1,FALSE,0,0,Not a lemon
9:30,2,TRUE,1000,0,Lemon
9:30,2,TRUE,2400,200,Not a lemon
9:30,2,TRUE,2100,0,Not a lemon
9:30,2,TRUE,1200,0,Lemon
9:30,2,TRUE,2500,200,Not a lemon
9:30,2,TRUE,2700,200,Not a lemon
9:30,2,FALSE,0,0,Lemon
